midi,inicio,fim,duracao,i,j,avg conf,std dev,median freq,avg midi
72.0,1.48,1.76,0.28,148.0,176.0,0.912518322467804,0.2626271745259668,531.3587700933701,72.25745438811957
72.0,2.59,3.51,0.9199999999999999,259.0,351.0,0.9112180471420288,0.2516070386416832,531.1806428898658,72.2497181645939
74.0,3.67,5.7,2.0300000000000002,367.0,570.0,0.9550663828849792,0.03851508594465053,588.2113023460174,74.02437603291065
76.0,5.75,7.75,2.0,575.0,775.0,0.9489149451255798,0.05554695245425492,661.1020064477427,76.04242564163263
77.0,7.88,9.48,1.6000000000000005,788.0,948.0,0.9305680394172668,0.043909174465682245,699.9335445623939,77.03111585592923
79.0,9.87,11.69,1.8200000000000003,987.0,1169.0,0.9402905106544495,0.02255349439034284,784.2643384677272,79.00781193357588
81.0,11.8,13.82,2.0199999999999996,1180.0,1382.0,0.9607858061790466,0.02002831870292383,880.0201902470484,80.99970215317516
83.0,13.9,15.66,1.7599999999999998,1390.0,1566.0,0.9365291595458984,0.06114047651628114,985.2969598241525,82.94766432925175
84.0,15.99,17.78,1.790000000000001,1599.0,1778.0,0.9422534108161926,0.023991433167561905,1046.0857992181895,83.9927579851242
86.0,17.87,19.59,1.7199999999999989,1787.0,1959.0,0.9507566690444946,0.03741840522726252,1176.759679389388,86.03388891735749
88.0,19.91,21.85,1.9400000000000013,1991.0,2185.0,0.9542410969734192,0.10444550053895534,1326.252733524755,88.10248115558124
89.0,21.87,23.41,1.5399999999999991,2187.0,2341.0,0.9414964914321899,0.13387595778272612,1408.2277104171412,89.12808571209744
93.0,25.78,26.09,0.3099999999999987,2578.0,2609.0,0.8986606001853943,0.043109645336337446,1764.0982866621587,93.04215168552244
93.0,26.16,26.29,0.129999999999999,2616.0,2629.0,0.8338094353675842,0.06374136356152714,1765.8374279131388,93.06373693791087
93.0,26.33,26.57,0.240000000000002,2633.0,2657.0,0.835180938243866,0.05440021163047764,1764.8804448129972,93.05373152839279
93.0,26.75,27.4,0.6499999999999986,2675.0,2740.0,0.8628067970275879,0.07982760380111047,1768.098590181226,93.07878884976509
94.0,29.65,30.01,0.360000000000003,2965.0,3001.0,0.9232070446014404,0.02229471346522154,1866.2160462695786,94.00011267187139
